Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,Pkg0402_2,148.622184,-114.694814,90.0,top
C2,100n,Pkg0402_2,146.177984,-110.839534,180.0,top
C3,100n,Pkg0402_2,142.582061,-110.835572,0.0,top
C4,1u,Pkg0402_2,135.253123,-99.695657,0.0,top
C5,1u,Pkg0402_2,137.089343,-99.16764,90.0,top
C6,1u,Pkg0402_2,137.482233,-108.020212,270.0,top
C7,1u,Pkg0402_2,141.174252,-103.134378,0.0,top
C8,1u,Pkg0402_2,137.0077,-97.138773,0.0,top
C9,1u,Pkg0402_2,131.363078,-103.715096,180.0,top
C10,1u,Pkg0402_2,138.644942,-108.070262,270.0,top
C11,4.7u,Pkg0402,132.381115,-101.207532,90.0,top
C12,27p,Pkg0402_2,138.051738,-112.571302,180.0,top
C13,27p,Pkg0402_2,133.69005,-108.309522,0.0,top
Card1,SD-101,SD_SMD_SD_101,134.8,-108.0,90.0,bottom
LED1,19-21/R6C-FP1Q2L/3T,Pkg0603,144.326658,-106.840352,180.0,top
R1,100K,Pkg0402_3,148.106609,-101.542377,90.0,top
R2,5K,Pkg0402_3,126.307394,-110.727391,180.0,top
R3,5K,Pkg0402_3,127.343111,-108.885762,180.0,top
R4,5K,Pkg0402_3,128.662662,-106.729721,180.0,top
R5,12K,Pkg0402_4,138.129245,-110.030331,90.0,top
R6,10K,Pkg0402_1,134.955734,-97.122587,180.0,top
R7,1M,Pkg0402_3,133.71677,-114.068215,0.0,top
R8,100R,R0402,141.126658,-106.840352,0.0,top
U3,BD433M5FP-CE2,TO_252_3_L6_5_W5_8_P4_58_BR,144.360119,-117.132221,90.0,top
U4,M24C04-WMN6TP,SOIC_8_L4_9_W3_9_P1_27_LS6_0_BL,128.272671,-118.43973,0.0,top
U5,USB2240-AEZG-06,QFN_36_L6_0_W6_0_P0_50_TL_EP4_1,136.872365,-103.604046,180.0,top
USB1,TYPE-C-31-G-03,USB_C_SMD_TYPE_C_31_G_03,155.576,-108.0,270.0,bottom
X1,7B024000Q01,CRYSTAL_SMD_4P_L3_2_W2_5_BL,135.237506,-111.360485,90.0,top
